id,created_at,started_at,completed_at,duration_seconds,consent_agreed,age_range,energy_knowledge,stage2_simple_onboarding,stage2_understood_ampeer,stage2_terms_helped_rights,stage2_setup_comparison,stage2_terms_comparison,app_tabs_visited,stage3_data_easy_to_understand,stage3_home_animation_helped,stage3_home_pricing_clear,stage3_home_overview_comparison,stage3_community_sense,stage3_dashboard_reports_useful,stage3_dashboard_comparison,stage3_assistant_trustworthy,stage3_smart_mode_respectful_privacy,stage3_profile_support,stage3_app_willingness_solar,stage3_open_feedback
350f80b3-6afa-43ab-b7bb-c1427a48e5a7,2026-05-20 18:40:25.308824+00,2026-05-20T18:36:56.970Z,2026-05-20T18:40:21.678Z,205,TRUE,18_24,non-expert,yes,yes,yes,ampeer,ampeer,"[""home"",""dashboard"",""community"",""assistant"",""profile""]",yes,maybe,yes,ampeer,yes,yes,ampeer,yes,yes,yes,yes,Only thing was i had to redo this on my phone instead of mac bc the scroll functionality wasn't working on there for some reason- not sure if device or app but worth a look
7c36cea7-9d19-4a6d-b594-1786bfadd1fb,2026-05-20 13:13:24.82556+00,2026-05-20T13:07:09.961Z,2026-05-20T13:13:24.109Z,374,TRUE,18_24,non-expert,yes,yes,yes,ampeer,ampeer,"[""home"",""community"",""dashboard"",""assistant"",""profile""]",yes,yes,yes,ampeer,yes,yes,ampeer,maybe,yes,yes,maybe,"I thought the UI was great - very clear and easy to follow. I have never thought about my energy usage and lowering it, however this seems easy enough to do so. I would most definitely use this."
1b6588f4-0334-4514-bf22-95ca2a342ee5,2026-05-20 02:52:12.024848+00,2026-05-20T02:38:29.997Z,2026-05-20T02:52:10.925Z,821,TRUE,,mid,maybe,no,yes,ampeer,ampeer,"[""home"",""community"",""dashboard"",""assistant"",""profile""]",maybe,yes,yes,enphase,yes,yes,ampeer,no,no,yes,yes,
c66613b0-9b0f-40be-ab86-d2cc0984b3c1,2026-05-19 21:05:10.165142+00,2026-05-19T20:56:22.702Z,2026-05-19T21:05:09.422Z,527,TRUE,18_24,non-expert,yes,no,yes,ampeer,ampeer,"[""home"",""dashboard"",""community"",""assistant"",""profile""]",yes,yes,maybe,ampeer,yes,yes,ampeer,maybe,yes,yes,yes,
49757cd9-556b-44c7-8f3e-7381bc4dbb6e,2026-05-19 17:57:01.498059+00,2026-05-19T17:49:34.772Z,2026-05-19T17:57:00.043Z,445,TRUE,18_24,mid,yes,yes,yes,ampeer,about_the_same,"[""home"",""community"",""dashboard"",""profile"",""assistant""]",yes,yes,yes,about_the_same,yes,yes,ampeer,yes,yes,yes,yes,
f47ecf90-f897-42fa-98a2-078eddb0473d,2026-05-19 17:07:43.342234+00,2026-05-19T16:54:12.000Z,2026-05-19T17:07:44.954Z,813,TRUE,18_24,non-expert,yes,maybe,yes,enphase,ampeer,"[""home"",""community"",""dashboard"",""assistant"",""profile""]",maybe,no,maybe,about_the_same,yes,yes,ampeer,maybe,yes,yes,yes,
ff932157-5086-44d3-8c8e-f303bc50392c,2026-05-19 16:02:16.528405+00,2026-05-19T15:50:56.468Z,2026-05-19T16:02:15.640Z,679,TRUE,18_24,expert,yes,yes,yes,ampeer,about_the_same,"[""home"",""community"",""dashboard"",""assistant"",""profile""]",yes,yes,yes,ampeer,yes,yes,ampeer,maybe,yes,yes,maybe,Cool stuff
0501f6b1-b36d-4806-9061-832ed06bb9a8,2026-05-19 15:28:23.694824+00,2026-05-19T15:20:17.892Z,2026-05-19T15:28:23.060Z,485,TRUE,18_24,non-expert,yes,yes,yes,ampeer,about_the_same,"[""home"",""community"",""dashboard"",""assistant"",""profile""]",yes,maybe,maybe,enphase,yes,yes,ampeer,yes,yes,yes,yes,
058d49c5-b1a0-4fb0-86dd-627602de8d44,2026-05-19 14:32:09.751833+00,2026-05-19T14:27:54.568Z,2026-05-19T14:32:09.822Z,255,TRUE,25_34,non-expert,maybe,maybe,no,ampeer,ampeer,"[""home"",""community"",""dashboard"",""assistant"",""profile""]",yes,maybe,no,about_the_same,yes,yes,about_the_same,maybe,no,maybe,yes,
6acf21d1-1043-49b1-99b7-1bc02b9b69fb,2026-05-19 14:27:18.486028+00,2026-05-19T14:08:02.838Z,2026-05-19T14:27:18.017Z,1155,TRUE,18_24,mid,yes,yes,yes,ampeer,ampeer,"[""home"",""community"",""dashboard"",""assistant"",""profile""]",yes,maybe,yes,about_the_same,yes,yes,ampeer,maybe,yes,yes,maybe,"Very good, I like the layout of the first page only minor thing is the clicking on the diagram might be a bit confusing, as in initially I didnt realise different information popped up everytime I clicked according to tapping location, I thought it was the same"
